log_id,asset_id,date,type,description,technician,duration_hours,parts_replaced,cost_eur
MX-00159,PV-013,2024-05-21,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Diego González,4.9,Cable harness,4746.98
MX-00140,PV-008,2024-05-22,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Elena Torres,5.2,Cable harness,3650.39
MX-00025,WT-007,2024-05-23,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Elena Torres,5.5,Yaw motor,891.35
MX-00058,WT-018,2024-05-24,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,5.8,Control board,2286.88
MX-00097,WT-026,2024-05-27,corrective,"Corrective maintenance following fault E-2002: Power curve deviation — output 15% below expected at reference wind speed. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,11.4,Cable harness,5667.79
MX-00042,WT-013,2024-05-29,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Isabel Moreno,10.9,Control board,2738.59
MX-00108,WT-030,2024-05-29,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Laura Martínez,9.1,Cable harness,4184.21
MX-00101,WT-028,2024-05-30,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Laura Martínez,11.1,Inverter IGBT module,2619.87
MX-00110,PV-001,2024-05-30,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Pablo López,9.5,Brake pad set,1130.06
MX-00096,WT-026,2024-05-31,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Diego González,6.1,Grid fuse set,7742.98
MX-00022,WT-006,2024-06-01,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,10.5,None,1757.78
MX-00034,WT-010,2024-06-03,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Pablo López,8.5,Generator coupling,13450.92
MX-00059,WT-018,2024-06-03,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",María Sánchez,5.1,Gearbox oil filter,2226.08
MX-00095,WT-026,2024-06-03,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,5.6,Hydraulic pump seal,2693.52
MX-00043,WT-013,2024-06-04,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Isabel Moreno,8.8,Brake pad set,3566.63
MX-00028,WT-008,2024-06-05,corrective,"Corrective maintenance following fault E-4002: Blade pitch actuator slow response — emergency feather engaged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,4.2,Yaw motor,8625.52
MX-00188,PV-020,2024-06-05,corrective,"Corrective maintenance following fault E-3002: String underperformance — DC current 20% below expected. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,4.1,Grid fuse set,1999.71
MX-00049,WT-015,2024-06-06,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Ana García,9.0,Control board,3904.49
MX-00187,PV-020,2024-06-07,corrective,"Corrective maintenance following fault E-3002: String underperformance — DC current 20% below expected. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",María Sánchez,13.1,Pitch bearing grease,634.82
MX-00020,WT-006,2024-06-08,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,10.7,Generator coupling,4376.7
MX-00024,WT-007,2024-06-09,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Diego González,2.3,Generator coupling,9033.1
MX-00081,WT-023,2024-06-09,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,5.8,Cable harness,2027.93
MX-00151,PV-011,2024-06-09,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Javier Rodríguez,5.3,Brake pad set,3258.36
MX-00007,WT-002,2024-06-12,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Ana García,11.2,Brake pad set,1639.94
MX-00118,PV-003,2024-06-12,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Carlos Fernández,4.7,Gearbox oil filter,1685.71
MX-00168,PV-015,2024-06-12,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,7.4,Pitch bearing grease,6100.42
MX-00031,WT-009,2024-06-14,corrective,"Corrective maintenance following fault E-1002: Rotor imbalance detected — blade pitch deviation >2°. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Pablo López,3.5,Inverter IGBT module,10547.43
MX-00113,PV-001,2024-06-16,corrective,"Corrective maintenance following fault E-3001: Inverter overtemperature — ambient+module delta T exceeded. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Ana García,2.7,Brake pad set,5252.86
MX-00069,WT-020,2024-06-17,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Isabel Moreno,9.3,Pitch bearing grease,4271.81
MX-00038,WT-011,2024-06-20,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,6.3,Rotor blade bolt kit,3055.52
MX-00122,PV-004,2024-06-20,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Alejandro Ruiz,5.0,Cable harness,3364.51
MX-00186,PV-020,2024-06-20,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Ana García,5.6,Brake pad set,974.09
MX-00055,WT-017,2024-06-21,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Alejandro Ruiz,4.6,Cable harness,3068.23
MX-00135,PV-006,2024-06-21,corrective,"Corrective maintenance following fault E-5002: Main circuit breaker trip — overvoltage protection activated. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,13.6,Hydraulic pump seal,6277.24
MX-00150,PV-011,2024-06-22,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,6.8,Hydraulic pump seal,4959.18
MX-00166,PV-014,2024-06-23,corrective,"Corrective maintenance following fault E-5002: Main circuit breaker trip — overvoltage protection activated. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,9.5,Transformer oil,13654.44
MX-00126,PV-004,2024-06-24,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Diego González,11.4,Yaw motor,8414.35
MX-00061,WT-018,2024-06-26,corrective,"Corrective maintenance following fault E-5002: Main circuit breaker trip — overvoltage protection activated. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Diego González,12.7,Gearbox oil filter,5914.28
MX-00092,WT-025,2024-06-26,corrective,"Corrective maintenance following fault E-1003: Generator bearing vibration exceeds 8 mm/s RMS. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,4.6,Gearbox oil filter,2314.2
MX-00114,PV-002,2024-06-26,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Alejandro Ruiz,11.1,Control board,4423.13
MX-00026,WT-008,2024-06-28,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,8.9,Control board,1505.24
MX-00083,WT-023,2024-06-28,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Javier Rodríguez,11.6,Cable harness,1649.71
MX-00080,WT-022,2024-06-30,corrective,"Corrective maintenance following fault E-2002: Power curve deviation — output 15% below expected at reference wind speed. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Diego González,13.9,Grid fuse set,12921.81
MX-00142,PV-008,2024-06-30,corrective,"Corrective maintenance following fault E-3001: Inverter overtemperature — ambient+module delta T exceeded. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,2.3,Yaw motor,9587.0
MX-00153,PV-011,2024-06-30,corrective,"Corrective maintenance following fault E-3002: String underperformance — DC current 20% below expected. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,11.7,Inverter IGBT module,1263.87
